iter	Logloss
0	0.6009155623
1	0.5293563528
2	0.4663363719
3	0.4160054317
4	0.3727398154
5	0.3425806072
6	0.3146094789
7	0.2915405349
8	0.2699720745
9	0.252759694
10	0.2376752366
11	0.2224527793
12	0.2131116806
13	0.2067323704
14	0.1981455859
15	0.1903624605
16	0.185885583
17	0.1813045047
18	0.1777335094
19	0.1748131508
20	0.1720758766
21	0.1703523621
22	0.1675841851
23	0.1656173194
24	0.1639218145
25	0.16276902
26	0.1610651182
27	0.1597138743
28	0.1583777797
29	0.1570984014
30	0.1555466604
31	0.1545836965
32	0.1538698765
33	0.1527269265
34	0.1519216399
35	0.1513473004
36	0.1508410721
37	0.149945705
38	0.1493964541
39	0.1490569885
40	0.1482108557
41	0.1477380345
42	0.1470887583
43	0.1464832544
44	0.1461621987
45	0.1458570001
46	0.1454499365
47	0.1450778025
48	0.1448039799
49	0.1445013071
50	0.1441962201
51	0.1434349007
52	0.1432115193
53	0.1429001657
54	0.1425136207
55	0.1420223535
56	0.1415887364
57	0.1410863074
58	0.1408704826
59	0.1404412936
60	0.1399705729
61	0.1397049245
62	0.1395087437
63	0.1391622352
64	0.1387552124
65	0.1385219673
66	0.1382901478
67	0.1380915431
68	0.1377547768
69	0.1374574347
70	0.1370206231
71	0.1367257257
72	0.1365487065
73	0.1362442372
74	0.1360092621
75	0.1357223244
76	0.1355460246
77	0.1353784765
78	0.1351529803
79	0.1349372742
80	0.1346992513
81	0.1344734033
82	0.1342367361
83	0.1340772685
84	0.1338094153
85	0.1336210001
86	0.1334515017
87	0.1332918392
88	0.1331435331
89	0.1329829278
90	0.1327954582
91	0.132677132
92	0.1324503909
93	0.1321806118
94	0.1320308577
95	0.1318377177
96	0.1317156826
97	0.1315302628
98	0.1313237702
99	0.13118709
100	0.1309668673
101	0.1307128521
102	0.130536729
103	0.1304016907
104	0.1301984674
105	0.1299824343
106	0.1297751582
107	0.1296296536
108	0.1294406193
109	0.1292533031
110	0.1290972622
111	0.1288895878
112	0.1287118968
113	0.1285958127
114	0.1284153995
115	0.1282777646
116	0.1281765532
117	0.1279979144
118	0.1277911821
119	0.1275895009
120	0.1274123685
121	0.1272754122
122	0.1270779045
123	0.1269533051
124	0.1267796031
125	0.1266211414
126	0.1264510141
127	0.1263553106
128	0.1262600383
129	0.1260658017
130	0.1258802689
131	0.1257581258
132	0.1256440622
133	0.1255314577
134	0.1253755525
135	0.1252411631
136	0.125101032
137	0.1248527689
138	0.1247411782
139	0.1246570394
140	0.12455073
141	0.1243912304
142	0.1242733371
143	0.1240782658
144	0.1239658704
145	0.123801088
146	0.1235910757
147	0.1234300976
148	0.1233299602
149	0.1232005651
150	0.1231306186
151	0.1229998383
152	0.122829495
153	0.1227025063
154	0.1225845082
155	0.1224380244
156	0.1222955369
157	0.1221637729
158	0.1220475373
159	0.1218789421
160	0.1217693667
161	0.1216441503
162	0.1214685806
163	0.1213289254
164	0.1212141252
165	0.1210752199
166	0.1209431241
167	0.1208346993
168	0.1207115381
169	0.1206056075
170	0.1204544095
171	0.1203606054
172	0.1202207375
173	0.1201267498
174	0.1200617
175	0.1199227328
176	0.1198118815
177	0.1197317788
178	0.1196469762
179	0.1194806992
180	0.1193568416
181	0.1191972161
182	0.1190683706
183	0.1189484822
184	0.1188546948
185	0.118730714
186	0.1185903262
187	0.1185075408
188	0.1184237486
189	0.118247116
190	0.1181707758
191	0.1180674157
192	0.117948597
193	0.1178670086
194	0.1177798127
195	0.1177189861
196	0.1176515609
197	0.1175811876
198	0.1174882641
199	0.1173911522
200	0.1172960904
201	0.1171887043
202	0.1170969229
203	0.1170253957
204	0.1169424562
205	0.1168193281
206	0.116702888
207	0.1166087424
208	0.1164850808
209	0.1164172939
210	0.1162903301
211	0.1161718247
212	0.1160036604
213	0.1158988257
214	0.1157647241
215	0.1156520081
216	0.1155145591
217	0.115394592
218	0.1152963089
219	0.1151334402
220	0.1150487519
221	0.1149322096
222	0.11484469
223	0.1147807496
224	0.1146904868
225	0.1146274609
226	0.1145499697
227	0.1144269723
228	0.114290844
229	0.1142225128
230	0.1140937961
231	0.1139997448
232	0.113897547
233	0.1137511483
234	0.1136750318
235	0.1135912727
236	0.1134994169
237	0.1134276828
238	0.113362841
239	0.1132742609
240	0.1131935705
241	0.1131144135
242	0.1130030508
243	0.1128855751
244	0.1128134632
245	0.1126838909
246	0.1125811311
247	0.1124827804
248	0.1123925372
249	0.1123114476
250	0.1122215573
251	0.112101384
252	0.1119984283
253	0.1118773408
254	0.1117845931
255	0.111728539
256	0.1116289069
257	0.1114810877
258	0.1114062377
259	0.1112923847
260	0.1111801181
261	0.1111264367
262	0.111015034
263	0.110948982
264	0.1108777231
265	0.1107981226
266	0.1107162637
267	0.1105994449
268	0.1105191955
269	0.1104322406
270	0.1103370336
271	0.110182495
272	0.1101096141
273	0.1099829752
274	0.1098424406
275	0.1097528137
276	0.1096062037
277	0.1095509124
278	0.1094205577
279	0.1093438525
280	0.109162971
281	0.1090242665
282	0.1089146659
283	0.1087972052
284	0.1087173786
285	0.1086507977
286	0.1085617222
287	0.1084574315
288	0.1083286183
289	0.1082758617
290	0.1081650307
291	0.1080734149
292	0.1079565633
293	0.1078570546
294	0.1077329718
295	0.1076471396
296	0.1075831377
297	0.1075167631
298	0.1074472428
299	0.1073786905
