iter	Passed	Remaining
0	87	26091
1	110	16420
2	130	12924
3	149	11074
4	169	9994
5	189	9285
6	209	8777
7	229	8378
8	250	8090
9	270	7854
10	292	7689
11	314	7536
12	333	7365
13	353	7218
14	374	7107
15	394	7007
16	415	6912
17	437	6849
18	460	6810
19	484	6785
20	515	6844
21	552	6977
22	588	7090
23	625	7195
24	662	7282
25	696	7335
26	729	7379
27	762	7408
28	791	7395
29	819	7371
30	845	7340
31	872	7308
32	896	7254
33	920	7202
34	946	7165
35	973	7140
36	1020	7255
37	1047	7223
38	1072	7175
39	1095	7120
40	1119	7074
41	1143	7022
42	1167	6975
43	1193	6942
44	1220	6914
45	1245	6879
46	1271	6846
47	1300	6825
48	1324	6786
49	1348	6744
50	1374	6708
51	1401	6683
52	1423	6636
53	1446	6590
54	1482	6602
55	1513	6593
56	1559	6649
57	1585	6617
58	1610	6579
59	1634	6536
60	1657	6494
61	1680	6450
62	1703	6409
63	1726	6367
64	1749	6325
65	1773	6287
66	1797	6249
67	1820	6212
68	1843	6171
69	1865	6129
70	1887	6088
71	1908	6044
72	1930	6002
73	1950	5956
74	1972	5916
75	1992	5872
76	2015	5836
77	2037	5797
78	2058	5759
79	2080	5720
80	2102	5683
81	2125	5649
82	2146	5612
83	2171	5582
84	2193	5549
85	2217	5516
86	2238	5481
87	2261	5448
88	2282	5411
89	2304	5377
90	2328	5347
91	2349	5312
92	2370	5277
93	2395	5249
94	2415	5212
95	2438	5181
96	2459	5147
97	2482	5116
98	2504	5085
99	2525	5051
100	2548	5021
101	2570	4989
102	2591	4957
103	2614	4926
104	2639	4901
105	2662	4873
106	2687	4847
107	2711	4819
108	2735	4793
109	2759	4767
110	2784	4741
111	2808	4714
112	2832	4687
113	2855	4659
114	2880	4633
115	2902	4604
116	2924	4574
117	2948	4547
118	2971	4520
119	2995	4493
120	3018	4465
121	3041	4437
122	3063	4409
123	3086	4381
124	3108	4351
125	3130	4322
126	3153	4295
127	3175	4267
128	3197	4237
129	3218	4208
130	3241	4182
131	3262	4151
132	3284	4124
133	3306	4095
134	3328	4067
135	3349	4039
136	3372	4012
137	3395	3985
138	3416	3957
139	3437	3928
140	3458	3900
141	3481	3873
142	3502	3845
143	3525	3819
144	3547	3792
145	3569	3764
146	3591	3738
147	3613	3711
148	3634	3683
149	3656	3656
150	3677	3629
151	3698	3600
152	3719	3573
153	3741	3547
154	3763	3520
155	3784	3493
156	3806	3467
157	3829	3441
158	3850	3414
159	3872	3388
160	3894	3362
161	3916	3335
162	3938	3310
163	3960	3284
164	3982	3258
165	4003	3231
166	4024	3205
167	4045	3178
168	4068	3153
169	4090	3128
170	4112	3102
171	4134	3076
172	4156	3051
173	4177	3024
174	4198	2998
175	4220	2973
176	4241	2947
177	4263	2922
178	4285	2896
179	4307	2871
180	4329	2846
181	4351	2821
182	4373	2795
183	4394	2770
184	4416	2745
185	4437	2719
186	4460	2695
187	4482	2670
188	4503	2644
189	4525	2620
190	4547	2594
191	4569	2570
192	4593	2546
193	4615	2522
194	4638	2497
195	4661	2473
196	4685	2450
197	4709	2426
198	4732	2402
199	4756	2378
200	4780	2354
201	4803	2330
202	4826	2306
203	4848	2281
204	4871	2257
205	4896	2234
206	4918	2209
207	4941	2185
208	4964	2161
209	4986	2137
210	5010	2113
211	5033	2089
212	5057	2065
213	5080	2041
214	5104	2017
215	5127	1993
216	5151	1970
217	5172	1945
218	5194	1921
219	5217	1897
220	5241	1873
221	5265	1850
222	5289	1826
223	5313	1802
224	5336	1778
225	5360	1755
226	5384	1731
227	5409	1708
228	5438	1686
229	5463	1662
230	5491	1640
231	5517	1617
232	5543	1593
233	5568	1570
234	5593	1547
235	5615	1522
236	5638	1498
237	5659	1474
238	5682	1450
239	5703	1425
240	5726	1401
241	5748	1377
242	5769	1353
243	5791	1329
244	5811	1304
245	5833	1280
246	5854	1256
247	5875	1232
248	5897	1207
249	5919	1183
250	5941	1159
251	5965	1136
252	5986	1112
253	6007	1088
254	6030	1064
255	6052	1040
256	6074	1016
257	6098	992
258	6120	968
259	6143	945
260	6164	921
261	6186	897
262	6209	873
263	6231	849
264	6253	825
265	6279	802
266	6302	778
267	6325	755
268	6346	731
269	6368	707
270	6391	683
271	6415	660
272	6436	636
273	6459	612
274	6482	589
275	6504	565
276	6527	541
277	6549	518
278	6571	494
279	6593	470
280	6616	447
281	6639	423
282	6660	400
283	6682	376
284	6704	352
285	6724	329
286	6747	305
287	6770	282
288	6792	258
289	6814	234
290	6835	211
291	6857	187
292	6879	164
293	6901	140
294	6923	117
295	6944	93
296	6967	70
297	6988	46
298	7008	23
299	7029	0
