iter	Passed	Remaining
0	30	8975
1	48	7224
2	67	6637
3	85	6319
4	103	6088
5	120	5895
6	137	5741
7	154	5656
8	171	5558
9	189	5493
10	206	5430
11	225	5416
12	245	5424
13	268	5485
14	291	5536
15	318	5660
16	344	5743
17	369	5790
18	406	6016
19	438	6143
20	464	6174
21	500	6325
22	529	6374
23	555	6389
24	584	6425
25	609	6427
26	632	6399
27	656	6375
28	679	6352
29	703	6328
30	725	6297
31	750	6287
32	777	6290
33	803	6287
34	830	6286
35	853	6260
36	879	6253
37	903	6232
38	929	6219
39	962	6257
40	985	6226
41	1008	6195
42	1032	6168
43	1064	6195
44	1087	6161
45	1110	6132
46	1139	6133
47	1174	6163
48	1215	6224
49	1238	6190
50	1261	6158
51	1281	6112
52	1300	6062
53	1321	6020
54	1344	5989
55	1367	5957
56	1391	5932
57	1419	5922
58	1444	5900
59	1468	5873
60	1493	5853
61	1518	5830
62	1545	5814
63	1571	5794
64	1596	5772
65	1630	5781
66	1658	5765
67	1682	5739
68	1705	5708
69	1731	5687
70	1751	5647
71	1772	5612
72	1793	5576
73	1817	5550
74	1839	5517
75	1858	5478
76	1879	5443
77	1899	5407
78	1920	5373
79	1945	5350
80	1966	5317
81	1989	5288
82	2010	5255
83	2031	5222
84	2052	5191
85	2075	5164
86	2098	5138
87	2120	5108
88	2144	5084
89	2167	5056
90	2187	5024
91	2209	4996
92	2228	4961
93	2248	4928
94	2268	4895
95	2288	4863
96	2310	4834
97	2331	4805
98	2350	4772
99	2370	4741
100	2390	4709
101	2409	4677
102	2428	4645
103	2447	4612
104	2466	4579
105	2483	4545
106	2501	4511
107	2521	4482
108	2539	4450
109	2558	4419
110	2577	4388
111	2595	4356
112	2614	4327
113	2635	4299
114	2654	4270
115	2673	4240
116	2692	4211
117	2713	4184
118	2732	4155
119	2751	4127
120	2771	4099
121	2790	4071
122	2810	4044
123	2829	4016
124	2849	3988
125	2868	3961
126	2888	3935
127	2906	3905
128	2927	3880
129	2946	3852
130	2965	3825
131	2986	3800
132	3005	3774
133	3024	3746
134	3043	3719
135	3061	3692
136	3080	3665
137	3099	3638
138	3116	3610
139	3136	3584
140	3155	3557
141	3173	3530
142	3192	3505
143	3210	3477
144	3229	3452
145	3247	3425
146	3268	3402
147	3287	3376
148	3307	3351
149	3326	3326
150	3346	3302
151	3364	3275
152	3384	3251
153	3403	3227
154	3424	3203
155	3444	3179
156	3463	3154
157	3483	3130
158	3502	3106
159	3522	3082
160	3542	3058
161	3560	3032
162	3580	3009
163	3600	2985
164	3621	2962
165	3642	2940
166	3661	2916
167	3681	2892
168	3699	2867
169	3718	2843
170	3736	2818
171	3755	2794
172	3774	2771
173	3791	2745
174	3809	2721
175	3829	2698
176	3849	2675
177	3867	2650
178	3887	2627
179	3907	2604
180	3924	2580
181	3946	2558
182	3966	2536
183	3986	2513
184	4005	2489
185	4023	2466
186	4042	2442
187	4061	2419
188	4079	2396
189	4100	2373
190	4118	2350
191	4139	2328
192	4161	2307
193	4181	2284
194	4202	2262
195	4221	2239
196	4241	2217
197	4262	2195
198	4282	2173
199	4302	2151
200	4323	2129
201	4343	2107
202	4365	2085
203	4384	2063
204	4403	2040
205	4423	2018
206	4443	1996
207	4463	1974
208	4483	1951
209	4502	1929
210	4520	1906
211	4541	1885
212	4559	1862
213	4578	1839
214	4597	1817
215	4614	1794
216	4635	1773
217	4655	1751
218	4674	1729
219	4694	1706
220	4713	1684
221	4732	1662
222	4752	1640
223	4772	1619
224	4791	1597
225	4810	1575
226	4828	1552
227	4847	1530
228	4866	1508
229	4884	1486
230	4904	1465
231	4922	1442
232	4943	1421
233	4961	1399
234	4982	1378
235	5000	1356
236	5019	1334
237	5039	1312
238	5057	1290
239	5077	1269
240	5097	1247
241	5116	1226
242	5135	1204
243	5155	1183
244	5174	1161
245	5192	1139
246	5212	1118
247	5231	1096
248	5252	1075
249	5269	1053
250	5289	1032
251	5309	1011
252	5329	989
253	5349	968
254	5368	947
255	5386	925
256	5406	904
257	5425	883
258	5443	861
259	5462	840
260	5480	818
261	5501	797
262	5520	776
263	5539	755
264	5558	734
265	5579	713
266	5597	691
267	5617	670
268	5636	649
269	5656	628
270	5673	607
271	5693	586
272	5712	564
273	5729	543
274	5749	522
275	5768	501
276	5787	480
277	5807	459
278	5827	438
279	5847	417
280	5866	396
281	5884	375
282	5905	354
283	5925	333
284	5944	312
285	5964	291
286	5983	271
287	6001	250
288	6021	229
289	6039	208
290	6058	187
291	6078	166
292	6097	145
293	6116	124
294	6134	103
295	6154	83
296	6173	62
297	6192	41
298	6210	20
299	6230	0
