,VIF Factor,features
0,7.980886582642648,매출액순이익률
1,7.700665546569868,기업순이익률
2,5.003943199702686,자기자본순이익률
3,4.899540989703053,매출액정상영업이익률
4,3.9413561076914374,부가가치율
5,2.6512099244811216,총자본투자효율
6,2.4275132007726854,자본금순이익률
7,2.300545519135977,차입금의존도
8,2.2888066603772352,부채대비영업활동현금흐름
9,2.131769778157766,자본금회전률
10,2.121287045521192,금융비용 대 총비용비율
11,1.8387811140898431,자본대비영업활동현금흐름
12,1.7345049889299027,비유동장기적합률
13,1.5186786796228708,자기자본배당률
14,1.160815550253172,배당성향
15,1.1495397181110516,매출액증가율
16,1.1353441845824463,연 변동성
17,1.0777313331475482,재고자산증가율
18,1.0599985373512157,차입금평균이자율
