iter	Logloss
0	0.623369038
1	0.5620333468
2	0.5196362215
3	0.4738292342
4	0.4342267565
5	0.401847017
6	0.3754340942
7	0.3524460967
8	0.3347758504
9	0.316689024
10	0.3022410924
11	0.288402759
12	0.2787186009
13	0.2696567597
14	0.2612111204
15	0.2534354001
16	0.2469325507
17	0.2409569741
18	0.236424691
19	0.231868331
20	0.2281239875
21	0.2251546808
22	0.2211972485
23	0.2179859544
24	0.2154026759
25	0.2133770602
26	0.2113192748
27	0.2090888808
28	0.2069692799
29	0.2052845358
30	0.2033089315
31	0.2023361588
32	0.2011447482
33	0.1997600794
34	0.198457831
35	0.1974323506
36	0.1962848984
37	0.1949365387
38	0.1942878272
39	0.1933869138
40	0.1924262472
41	0.1917150554
42	0.1908998473
43	0.1902629405
44	0.1893503192
45	0.1887658156
46	0.1882960141
47	0.187829732
48	0.1874566987
49	0.1866625539
50	0.1862395433
51	0.1857548059
52	0.1852143228
53	0.1846817614
54	0.1842600214
55	0.1838742625
56	0.1836315025
57	0.1832571096
58	0.1828188105
59	0.1823725307
60	0.1820657192
61	0.181653838
62	0.1811784962
63	0.1809764369
64	0.1806154131
65	0.1800061436
66	0.1796064549
67	0.1793190113
68	0.1788431248
69	0.1785247174
70	0.1783087059
71	0.177895065
72	0.1776585697
73	0.1773168601
74	0.1768911854
75	0.1764643032
76	0.1760488758
77	0.1757667814
78	0.175574211
79	0.1752427892
80	0.1750502467
81	0.1747107996
82	0.1743623378
83	0.1740733439
84	0.1738382353
85	0.1735553247
86	0.173347314
87	0.1730250335
88	0.1727958245
89	0.1726366978
90	0.1722979371
91	0.1719955297
92	0.171843682
93	0.1715042403
94	0.1713196046
95	0.1710878193
96	0.1708351762
97	0.1706549543
98	0.1704595283
99	0.17018527
100	0.1698711324
101	0.169688272
102	0.1694683326
103	0.1691558134
104	0.1689923183
105	0.1687194119
106	0.1685479601
107	0.1682708249
108	0.1681091361
109	0.1678568975
110	0.167635425
111	0.1673467026
112	0.1671217689
113	0.1668980117
114	0.1667329955
115	0.1664633626
116	0.1661191553
117	0.1658931133
118	0.1656487135
119	0.1653906849
120	0.1651679391
121	0.1648944559
122	0.1647174473
123	0.1645004226
124	0.1643252834
125	0.1640945978
126	0.1638777345
127	0.1637512833
128	0.1635046024
129	0.1633367642
130	0.1630937503
131	0.1629241488
132	0.1627397369
133	0.1623663502
134	0.1621436067
135	0.161969215
136	0.1618116138
137	0.1615285304
138	0.1613882352
139	0.1611649436
140	0.1608709059
141	0.1607350038
142	0.1605502662
143	0.1603346099
144	0.1600617875
145	0.1598546873
146	0.1597260956
147	0.1594359705
148	0.159269468
149	0.1591273823
150	0.158970593
151	0.1587553039
152	0.1586247888
153	0.1584762963
154	0.1582725648
155	0.1581142917
156	0.1578733611
157	0.1576249242
158	0.1574167336
159	0.157174128
160	0.1568724478
161	0.1565658148
162	0.1563883927
163	0.1561995791
164	0.1559746584
165	0.1558201447
166	0.1554582821
167	0.1552975939
168	0.1550988895
169	0.1549768468
170	0.1547608917
171	0.1546063877
172	0.1543338953
173	0.154119914
174	0.1540100335
175	0.1538190574
176	0.1535876258
177	0.1534070888
178	0.1531878518
179	0.1529206309
180	0.1526923893
181	0.1525210556
182	0.1523739462
183	0.1522230174
184	0.1519454317
185	0.1516088645
186	0.1514047495
187	0.1512545496
188	0.1511314108
189	0.1509260358
190	0.1507577708
191	0.1505206632
192	0.150340766
193	0.150229091
194	0.1500479677
195	0.1498875169
196	0.1497230171
197	0.1494253829
198	0.1492679455
199	0.1489171129
200	0.1487045863
201	0.1484447939
202	0.148262309
203	0.1481142547
204	0.1478854407
205	0.1476194419
206	0.1474304097
207	0.147283189
208	0.1470280214
209	0.1468367185
210	0.1466601305
211	0.1463648122
212	0.1461004828
213	0.1459775106
214	0.1456342988
215	0.1454088639
216	0.1451984785
217	0.145049018
218	0.1449791925
219	0.14470997
220	0.1445794626
221	0.1442915679
222	0.1439551024
223	0.1437247047
224	0.1435475642
225	0.1433364984
226	0.1431724895
227	0.1430246073
228	0.1428556153
229	0.1425991853
230	0.1424237178
231	0.1422637726
232	0.1420806108
233	0.1419921411
234	0.1418202606
235	0.1415514763
236	0.1412015197
237	0.1410251791
238	0.1407435833
239	0.140528957
240	0.1403608888
241	0.1402618181
242	0.1401530377
243	0.1398983431
244	0.1396284772
245	0.1394277292
246	0.1391851478
247	0.1389802912
248	0.1387932817
249	0.1385952807
250	0.1382678174
251	0.1381005321
252	0.1379488949
253	0.1378461795
254	0.1376350375
255	0.1375025419
256	0.1373022166
257	0.1370665911
258	0.1368850018
259	0.136619493
260	0.1364372116
261	0.1362022556
262	0.1360147135
263	0.135852605
264	0.1356373137
265	0.1354765362
266	0.1351711299
267	0.1349710546
268	0.1347519831
269	0.1344817524
270	0.13432015
271	0.1341225959
272	0.1339569368
273	0.1337617855
274	0.1336083204
275	0.1333656951
276	0.1331918328
277	0.1330070519
278	0.1327934193
279	0.1325319762
280	0.1324093276
281	0.1321766759
282	0.1320154622
283	0.1318719824
284	0.1316241114
285	0.1314473998
286	0.1313251063
287	0.1311762223
288	0.1310091539
289	0.1308133478
290	0.1306677091
291	0.1304459937
292	0.1302515225
293	0.1300029599
294	0.1296956823
295	0.1294254819
296	0.1293277825
297	0.1291016775
298	0.1289045899
299	0.1287178089
