iter	Passed	Remaining
0	3	1117
1	6	943
2	9	893
3	11	866
4	14	840
5	16	830
6	19	827
7	22	828
8	25	823
9	28	820
10	30	811
11	33	808
12	36	797
13	38	783
14	40	774
15	43	769
16	45	762
17	48	755
18	50	749
19	53	744
20	55	738
21	58	733
22	60	728
23	62	723
24	65	718
25	67	713
26	70	708
27	72	704
28	75	701
29	77	698
30	79	693
31	82	688
32	84	683
33	86	680
34	89	676
35	91	672
36	94	669
37	96	666
38	98	662
39	101	658
40	103	656
41	106	653
42	109	651
43	111	649
44	113	644
45	115	639
46	118	637
47	120	634
48	123	631
49	125	627
50	128	625
51	130	622
52	132	619
53	135	616
54	137	613
55	140	610
56	142	607
57	144	604
58	147	602
59	149	599
60	152	597
61	154	594
62	157	591
63	159	588
64	162	585
65	164	582
66	166	580
67	169	577
68	171	573
69	173	570
70	175	566
71	177	563
72	179	559
73	181	555
74	183	551
75	186	549
76	188	545
77	190	542
78	192	539
79	194	536
80	197	533
81	199	530
82	201	527
83	203	524
84	206	521
85	208	518
86	210	514
87	212	512
88	214	509
89	216	506
90	219	503
91	221	500
92	223	497
93	225	494
94	228	492
95	230	489
96	232	486
97	234	483
98	236	480
99	238	477
100	240	474
101	243	471
102	245	469
103	247	466
104	249	463
105	251	461
106	254	458
107	256	455
108	258	452
109	260	450
110	263	447
111	265	445
112	267	442
113	269	439
114	271	437
115	273	434
116	276	431
117	278	429
118	280	426
119	282	424
120	285	421
121	287	418
122	289	416
123	291	413
124	293	410
125	295	408
126	297	405
127	300	403
128	303	401
129	305	399
130	307	396
131	309	394
132	311	391
133	314	389
134	316	386
135	318	383
136	320	381
137	322	378
138	324	376
139	326	373
140	328	370
141	331	368
142	333	365
143	335	363
144	337	361
145	340	358
146	342	356
147	344	354
148	347	351
149	349	349
150	351	346
151	353	344
152	355	342
153	358	339
154	360	336
155	362	334
156	364	332
157	366	329
158	369	327
159	371	324
160	373	322
161	375	319
162	377	317
163	379	314
164	381	312
165	384	310
166	386	307
167	388	305
168	390	302
169	392	300
170	394	297
171	397	295
172	399	293
173	401	291
174	404	288
175	406	286
176	408	284
177	410	281
178	413	279
179	415	276
180	417	274
181	419	272
182	422	269
183	424	267
184	426	265
185	428	262
186	430	260
187	433	257
188	435	255
189	437	253
190	439	250
191	441	248
192	443	246
193	446	243
194	448	241
195	450	239
196	453	236
197	455	234
198	457	232
199	459	229
200	462	227
201	464	225
202	466	223
203	469	220
204	471	218
205	473	216
206	475	213
207	478	211
208	480	209
209	482	206
210	485	204
211	487	202
212	489	199
213	491	197
214	493	195
215	496	192
216	498	190
217	500	188
218	502	185
219	504	183
220	506	181
221	509	178
222	511	176
223	513	174
224	515	171
225	517	169
226	519	167
227	522	164
228	524	162
229	526	160
230	528	157
231	531	155
232	533	153
233	535	151
234	538	148
235	540	146
236	542	144
237	544	141
238	547	139
239	549	137
240	551	135
241	554	132
242	556	130
243	558	128
244	560	125
245	562	123
246	564	121
247	567	118
248	569	116
249	571	114
250	573	111
251	576	109
252	578	107
253	580	105
254	582	102
255	585	100
256	587	98
257	589	95
258	591	93
259	594	91
260	596	89
261	598	86
262	601	84
263	603	82
264	606	80
265	608	77
266	610	75
267	613	73
268	615	70
269	617	68
270	619	66
271	622	64
272	624	61
273	626	59
274	628	57
275	630	54
276	633	52
277	635	50
278	637	47
279	640	45
280	642	43
281	644	41
282	646	38
283	649	36
284	651	34
285	653	31
286	655	29
287	658	27
288	660	25
289	662	22
290	665	20
291	667	18
292	669	15
293	671	13
294	673	11
295	675	9
296	678	6
297	680	4
298	682	2
299	684	0
