회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,산업분류,산업분류_제조업,상장일,상장폐지일,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출액정상영업이익률,매출액순이익률,자기자본순이익률,자본금순이익률,기업순이익률,매출원가 대 매출액비율,금융비용 대 총비용비율,감가상각률,차입금평균이자율,사내유보율,평균배당률,자기자본배당률,배당성향,자기자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,유동부채비율,비유동부채비율,차입금의존도,자기자본회전률,자본금회전률,매입채무회전률,재고자산회전률,비유동자산회전률,유형자산회전율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,인건비(백만원),금융비용(백만원),임차료(백만원),세금과공과(백만원),감가상각비(백만원),부채대비영업활동현금흐름,자본대비영업활동현금흐름,매출액대비영업활동현금흐름,3년지수가중평균매출액,업력,연 변동성,PER,PBR,건설업,부동산업,label
(주)HJ매그놀리아용평호텔앤리조트,A070960,2020,1,55,55,숙박업,I,,2016.5.27,,7.29,0.49,53.62,148.16,-4.55,-1.56,-5.46,-13.78,-4.54,-7.29,-0.66,92.85,7.6,6.13,6.68,0,0,0,0,41.43,197.15,131.77,48.21,36.79,20.79,4125.71,141.39,91.77,49.62,20.52,0.33,0.53,117.65,4.59,0.17,0.17,4.14,5.25,0,29.66,64.37,24329.47,11782.2,1188.59,5637.67,18664.24,0.103048605,0.131654235,1.909433713,9614335.167,22,0.587242794,0,0.52,0,0,1
(주)MH에탄올,A023150,2019,1,11,11,음료제조업,C,C1,1996.12.24,,2.57,3.08,10.95,25.01,-7.78,11.1,9.68,-9.34,-0.88,-11.42,0.62,67.04,11.96,4.54,4.68,0,49.56,3.83,0,17.58,527.35,247.55,11.62,8.73,3.21,1797.11,468.69,355.65,113.03,53.23,0.95,17.59,139.98,11,0.2,0.2,5,5.62,1121.61,27.91,44.05,9943.06,10323.64,0,3739.58,13564.46,0.031550679,0.132989746,0.525915549,6750023.933,42,0.163625605,0,0.73,0,0,1
(주)SH에너지화학,A002360,2020,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,1985.12.23,,-4.91,10.16,-13.3,-42.74,-7.76,-33.56,-8.39,-7.42,-7.29,-12.25,-5.86,98.84,-0.11,8.69,2.03,0,0,0,0,76.7,49.89,40.84,979.37,849.69,445.74,1199.88,30.38,8.22,22.17,9.63,0.99,1.68,80.22,7.1,2.21,2.68,7.01,27.05,65.54,8.79,189,15547.94,-111.68,0,0,2611.43,0.162807554,0.044588396,0.154320237,10511393.63,63,0.652841533,0,0.95,0,0,1
(주)SIMPAC,A009160,2014,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,5.51,129.79,33.34,58.76,4.71,27.9,6.59,5.44,6.7,98.46,4.22,83.63,0.51,10.87,3.82,100,14.86,1.06,21.15,57.37,108.2,96.68,105.96,76.17,19.44,158.91,74.3,62.39,11.91,10.69,1.23,18.1,6.22,7.93,1.07,2.17,13.54,30.95,284.41,19.65,54.56,28207.9,1391.36,0,0,5336.94,0.218020211,0.160968772,0.45707172,22501963.8,42,0.271029125,6.9,0.71,0,0,0
(주)SIMPAC,A009160,2015,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,10.71,6.84,20.18,38.05,6.1,2.42,7.88,6.1,7.29,113.02,4.38,82.15,0.47,9.43,3.08,100,22.34,1.48,16.7,54.87,107.21,98.12,102.82,69.62,14.76,145.26,82.25,72.98,9.27,12.58,1.19,18.53,5.4,5.56,1.11,1.54,14.18,34.11,295.6,22.25,52.03,31196.2,1190.16,0,0,5608.51,0.058006101,0.045470519,0.127662578,24992827.43,43,0.292790374,10.57,0.74,0,0,0
(주)SIMPAC,A009160,2016,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,-1.17,-1.26,1.55,-18.23,3.62,-0.91,8.82,6.06,6.85,111.29,4.12,81.52,0.44,9.32,2.61,100,18.23,1.16,16.12,57.53,100.28,91.84,113.8,84.21,33.41,143.41,73.81,64.61,9.19,13.12,1.13,18.37,5.3,5.23,1.09,1.49,14.14,33.07,247.21,22.13,51.46,30407.83,1117.12,0,0,5866.01,0.191409712,0.14921187,0.486834284,25124281.87,44,0.211390863,7.8,0.59,0,0,0
(주)SIMPAC,A009160,2017,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,-8.78,-3.38,-14.77,-14.59,0.17,-13.64,5.07,5.59,5.36,88.68,3.44,83.69,0.37,11,2.11,100,13.68,0.89,27.89,63.18,95.71,92.01,115.32,85.28,23.55,260.25,58.27,54.25,4.02,14.49,0.96,15.86,6.04,5.41,0.98,1.31,11.36,25.07,218.27,18.77,60.25,26075.8,847.67,0,0,6782.55,-0.060063668,-0.03966211,-0.215158138,19988541.37,45,0.162150787,6.85,0.5,0,0,0
(주)SIMPAC,A009160,2018,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,78.86,106.96,106.23,180.33,80.64,32.74,3.33,22.6,20.48,292.86,13.31,88.84,0.51,9.9,2.97,100,11.1,0.88,5.82,63.81,85.28,81.86,135.98,87.82,49.22,157.58,56.71,52.53,4.18,16.64,0.91,12.96,8.44,4.1,1.02,1.16,16.76,32,292.53,37.32,27.54,31469.15,1534.94,0,0,9733.59,0.193051193,0.110556325,0.319446676,28754272.03,46,0.399014194,4.79,0.29,0,0,0
(주)SIMPAC,A009160,2019,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,-0.38,-26.23,-6.93,-19.88,1.42,40.48,2.59,2.21,2.17,29,1.61,89.59,0.35,11.05,2.65,100,11.1,0.87,31.57,64.96,88.38,84.84,131.76,91.59,58.26,163.65,53.93,49.75,4.18,18.96,0.98,13.15,11.34,4.34,1.13,1.39,9.64,24.96,199.32,15.22,57.13,37403.36,1490.68,0,0,13506.36,0.154622507,0.08552637,0.403404375,30133237.9,47,0.402317745,1.76,0.44,0,0,0
(주)SIMPAC,A009160,2020,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,8.56,-13.51,22.15,49.41,5.17,-14.93,2.13,9.33,7.54,104.35,5.13,89.7,0.59,12.84,2.16,100,10.54,0.79,13.11,62.93,82.77,78.66,141.82,88.93,49.68,102.77,58.9,53.68,5.22,19.63,0.81,11.18,9.18,3.33,0.95,1.49,13.08,42.37,372.74,26.37,39.73,38332.83,2186.54,0,0,13090.53,-0.066672005,-0.037656002,-0.16267561,34546275.63,48,0.398932463,15.73,0.37,0,0,0
